"","text"
"189","bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  lang "
"190","abang sicepat ngasih paket udah kek ngasih bansos bonus karung ceunah pengiriman malam wkwk "
"191","sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"192"," emang ga dikasih pak nder mestinya kn dpet bansos"
"193","sidokkes polres oki polda sumsel menerima bansos dari ibu ketua bhayangkari cab oki dalam rangka giat bhayangkari p "
"194","gak bosen apa ya kasih notif bansos mulu coba kasih notif yang lain dong "
"195","sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"196","kek lu tuh tipe cowo gua bangettt anjrottt udah suka alam anak motor classic anak komunitas bansos yaa emang se "
"197"," sena are you ok gacha saha kamu rusti daijobu bansos lg berdatangan btw itu editan"
"198","  apakah juga diabaikan  tapi sumpah pns kan terkait ucapan perbuatan   bagaimana dg t "
"199","sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"200"," cbong pemuja bansos"
"201","sidokkes polres oki polda sumsel menerima bansos dari ibu ketua bhayangkari cab oki dalam rangka giat bhayangkari p "
"202"," saya pikir dana dana proyek anggaran bansos pajak dll sebagainya bisa di kirim lewat rupiah digita "
"203"," selain umkm tukang ojek dan nelayan juga akan mendapat bantuan tersebut "
"204","aneh aja gitu sultan ko dapet bansos"
"205","baubau ada bansos nih "
"206","warga cigudeg meninggal saat antre bansos ini penjelasan polisi dan puskemas bogor antrebansos wargameninggal "
"207"," iya ya aku juga dari kemarin bisa dapet b juga cuma ngandelin dari bansos fripull aja"
"208"," tapi bansos pake misi  trus gada auto live jugaaa "
"209","tata cara penyaluran bantuan sosial permakanan untuk lansia dibagikan tiap hari oleh kemensos "
"210","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"211"," merampok bansos kaya temen lu"
"212","lu pikir bansos ikhlasin "
"213","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"214"," bissmillah bansos"
"215","   pengajuan dtks amp  pengusulan bansos bisa  jalur usulan desausulan individu "
"216"," pejabrut sini ga peduli ky gnian transport publik setengah hati giliran mo deket pemilu gelontorin bansos biar kepilih lagi"
"217","pemerintah provinsi provinsi lampung melaunching bantuan sosial tunai penanganan dampak inflasi daerah  di desa "
"218","   bongfir meningan maling bansos aja "
"219","jangan salah sasaran ini  kriteria lansia penerima bantuan sosial permakanan dari kemensos "
"220","bansos polri ini dilaksanakan untuk mampu menghibur amp  menghalau trauma pasca gempa cianjur bagi korban gempa cianju "
"221"," korupsi dana bansos korupsi dana pembangunan mesjid menyelewengkan dana bantuan korban bencana"
"222","dear  yg terhormatsaya mohon ijin mau bertanyaapakah orang seperti saya tidak layak menerima bansos y "
"223","emakemak di bogor meninggal saat antre bansos miliki penyakit komplikasi lengkapcepatberitanya beritaterkini "
"224","  gambar khusus kaum munfiqun yg masih mnggunakanjd penerima barang amp  jasa brsubsidi dri pemerintah seperti"
"225","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"226"," discusshe  video replay hari  sesi   program bantuan sosial penggerak ekonomi   discusshe"
"227"," bansos nya ada gak"
"228","  iya juga sih tapi yg maling bansos lebih hebat lagi loh uang katah orang miskin itu "
"229","apaan nih aplikasi bansos kok error mulu tiap log in kalo fungsinya buat aplikasi buat mempermudah kalangan masyara "
"230","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"231","bhabinkamtibmas kelurahan bugih monitoring dan pengamanan pemberian bansos di jln dirgahayu kelurahan bugih kecam "
"232","bru gacha sekali dpt biru mau nyoba peruntungan lagi dehmumpung banyak bansos "
"233"," anak sosial mukanya mirip bansos kali yak"
"234","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"235"," gak ngaruh la mayoritas kl mentalnya garong bansos ya mudah ditaklukkan"
"236","polsek rkt polres prabumulih memberikan bansos kepada warga yang sakit "
"237","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"238"," makasi lele atas bansos meme nya  "
"239","rill min ini antrian bansos aja kalah panjang "
"240","perlu diketahui bersama pasien kami di dua rs di depok  menggunakan bpjs dan bansos walaupun pemkot depok be "
"241"," kapolres cirebon kota akbp drm fahri siregar sh sik mh berikan bansos beras  tonmie  dus dan obat obatan kpd"
"242","berita terbaru  kpm di tiga kecamatan boltim terima bltbbm  bansossembako bltbbm imrangolonda pkhboltim"
"243","ini aku belabelain relay dari shinjuku sampai lb  biar kekejar lb malah kagak ada banner baru  apakah new serva "
"244","pemprov dki cairkan bansos kjp periode desember  begini detailnya "
"245","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"246"," kenyang bansos"
"247","  iya teriak rezim dzolim dan penguasa pembohong tapi dapat blt atau bansos lainnya mau juga entepantek"
"248","banser kalteng serahkan  paket bantuan gubernur kalteng      "
"249","siswa spn polda jatim salurkan bansos warga kurang mampu   news berita kabar popular klikwarta"
"250","kan apalagi baik bgt bagi bansos game peod satu ini "
