"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"842","Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/O67k4jcVzF",FALSE,0,NA,2022-11-30 16:11:13,FALSE,NA,"1597986616148373504",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rihanaaas",3,FALSE,FALSE,NA,NA
"843","@mynameischiaki sama kak. bulan lalu berhasil mulangin hiyori, hiiro sama tomoya dari bansos dan masih belum kelar… https://t.co/Pm5cnXmEEA",FALSE,0,"mynameischiaki",2022-11-30 16:07:49,TRUE,"1597984328331726849","1597985762339061761","187860710","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anxxoul",0,FALSE,FALSE,NA,NA
"844","RT @zyepuz: Penyesuaian harga BBM dan pengalihan subsidi BBM menjadi Bansos/BLT merupakan langkah tepat supaya subsidi tepat sasaran.
#BLTB…",FALSE,0,NA,2022-11-30 16:05:45,FALSE,NA,"1597985241502691328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dwirama89009610",7,TRUE,FALSE,NA,NA
"845","@riskisyahptra @RyaWiedy jangankan bantuan tsunami. Yang baru2 aja nih. Bansos covid-19 ditelan juga boss sama Ex m… https://t.co/YBA3h0Vbvo",FALSE,0,"riskisyahptra",2022-11-30 16:00:53,TRUE,"1597396492016562177","1597984017546371073","1004077466","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kotakmasuk9999",0,FALSE,FALSE,NA,NA
"846","RT @Poldakaltim: Polda Kaltim Berbagi 

Kunjungi Terminal Peti Kemas Kariangau, Kapolda Kaltim Bagikan 1000 Paket Bansos Pada Buruh Termina…",FALSE,0,NA,2022-11-30 15:56:11,FALSE,NA,"1597982835125604352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RadenSuhanda",106,TRUE,FALSE,NA,NA
"847","@mlvinsagara Jaringan aku bansos",FALSE,0,"mlvinsagara",2022-11-30 15:54:56,FALSE,"1597972869556101121","1597982518560829441","1538919563940597761","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fullofsunx",0,FALSE,FALSE,NA,NA
"848","ANJWJAHAAHHAHA DAPET KURO DI PULL 14. Tadi sebenarnya Tsun udah pasrah di bansos dapet lampu pelangi dan yg pulang… https://t.co/hwZo3ZosbL",FALSE,0,"mtsunsv",2022-11-30 15:53:51,TRUE,"1597981872860327936","1597982248590270464","1287284587677155329","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mtsunsv",0,FALSE,FALSE,NA,NA
"849","@croissantshuu makasii chii. mungkin hepiele kasihan kali ya sama aku biru mulu. jadi dikasih 2 b5 di beda banner bansos",FALSE,0,"croissantshuu",2022-11-30 15:53:03,FALSE,"1597981737854066690","1597982047922188288","1517750177473638401","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anxxoul",0,FALSE,FALSE,NA,NA
"850","@Remiee_mi menang apa emangnya 😭😭 hepiele emang serem ini sering bagi bansos hhhh",FALSE,0,"Remiee_mi",2022-11-30 15:53:02,FALSE,"1597981080354947072","1597982042876440576","1334787348161126401","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_loluu__",0,FALSE,FALSE,NA,NA
"851","@OposisiCerdas Kalau ada duitnya, sepertinya akan lancar-lancar saja.
Dana Bansos aja diEMBAT, apa lagi ini, dana besar, gratis lagi.",FALSE,2,"OposisiCerdas",2022-11-30 15:52:38,FALSE,"1597948105923923969","1597981943228137474","887743587579944960","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RudyBangun4",0,FALSE,FALSE,NA,NA
"852","@puanmaharani_ri @_TNIAL_ Kami bangga jikalau ibu Puan bisa menyukseskan keluarga kami mendapapatkan bansos...agar… https://t.co/bxhp4P6ooM",FALSE,0,"puanmaharani_ri",2022-11-30 15:49:27,TRUE,"1597213547133833217","1597981140174139392","1410866743271051267","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jumainom",0,FALSE,FALSE,NA,NA
"853","@detikcom Aceh pusat kadrun... Kasihan parlok bisa jadi suara mereka tergerus akibat efek anis.. padahal Jokowi lua… https://t.co/Wmha1PDcuO",FALSE,1,"detikcom",2022-11-30 15:48:02,TRUE,"1597959910716760066","1597980782358040577","69183155","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fxbanget",0,FALSE,FALSE,NA,NA
"854","sedikit want to pamer dari bansos hari ini. yang kanan dari bansos autumn 14 hari login, yang kiri dari bansos yang… https://t.co/JqRsGeMUIf",FALSE,0,NA,2022-11-30 15:46:52,TRUE,NA,"1597980489474015233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anxxoul",0,FALSE,FALSE,NA,NA
"855","@AndyHuskyyy @puanmaharani_ri @_TNIAL_ Perjuangan konggres PDIP dan susahnya berjuang untuk mendapatkan bansos dari… https://t.co/dTEmp6NTye",FALSE,1,"AndyHuskyyy",2022-11-30 15:44:16,TRUE,"1597601309347131393","1597979835006996481","1134854001827041281","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jumainom",0,FALSE,FALSE,NA,NA
"856","@kochengfs Sama ini juga abis dpt beras bansos https://t.co/c17zYg5dE3",FALSE,2,"kochengfs",2022-11-30 15:41:56,FALSE,"1597867456806424576","1597979246428708864","243647729","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zhie_bianconero",0,FALSE,FALSE,NA,NA
"857","@puanmaharani_ri @_TNIAL_ Ibu Puan kenapa ya susahnya mendapatkan bansos dari pemerintah baik sembako maupun blt..r… https://t.co/0El2W8t2ZJ",FALSE,0,"puanmaharani_ri",2022-11-30 15:39:26,TRUE,"1597554352109285381","1597978618524639232","1410866743271051267","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jumainom",0,FALSE,FALSE,NA,NA
"858","alhamdulillah turun bansos https://t.co/qIaKnewBqj",FALSE,0,NA,2022-11-30 15:36:00,FALSE,NA,"1597977756482301960",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kepentoktiang",0,FALSE,FALSE,NA,NA
"859","@moonareas ngantri bansos",FALSE,1,"moonareas",2022-11-30 15:31:58,FALSE,"1597976260596346880","1597976742098239488","1108258395679653888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","archviey",0,FALSE,FALSE,NA,NA
"860","Apa yang diharapkan dari gacha bansos. Tim biru Knights 💙",FALSE,0,NA,2022-11-30 15:22:30,FALSE,NA,"1597974356680118272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NyanKnek",0,FALSE,FALSE,NA,NA
"861","@kuiliong1 @Dennysiregar7 Bansos yg digarong mengalir ke rekening siapa? https://t.co/1Pw5rAGHcI",FALSE,0,"kuiliong1",2022-11-30 15:21:22,FALSE,"1597409098018230273","1597974072700600320","306031770","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","izraseven",0,FALSE,FALSE,NA,NA
"862","RT @pikiran_rakyat: Tata Cara Cek Penerima Bansos Kemensos 2022 Pakai KTP secara Online https://t.co/cHOZeg64E3 https://t.co/3lOQxtNCDG",FALSE,0,NA,2022-11-30 15:18:32,FALSE,NA,"1597973359270440960",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PRDepok",1,TRUE,FALSE,NA,NA
"863","Tata Cara Cek Penerima Bansos Kemensos 2022 Pakai KTP secara Online https://t.co/cHOZeg64E3 https://t.co/3lOQxtNCDG",FALSE,0,NA,2022-11-30 15:18:13,FALSE,NA,"1597973278433640456",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","pikiran_rakyat",1,FALSE,FALSE,NA,NA
"864","Tata Cara Cek Penerima Bansos Kemensos 2022 Pakai KTP secara Online https://t.co/x2NwcPbeWA",FALSE,0,NA,2022-11-30 15:18:06,FALSE,NA,"1597973251036450816",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PRDepok",0,FALSE,FALSE,NA,NA
"865","RT @Poldakaltim: Polda Kaltim Berbagi 

Kunjungi Terminal Peti Kemas Kariangau, Kapolda Kaltim Bagikan 1000 Paket Bansos Pada Buruh Termina…",FALSE,0,NA,2022-11-30 15:08:14,FALSE,NA,"1597970769254187010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ridwan607",106,TRUE,FALSE,NA,NA
"866","Gimana gacha bansos kalian kids?",FALSE,0,NA,2022-11-30 15:07:09,FALSE,NA,"1597970495676514305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bleuironique",0,FALSE,FALSE,NA,NA
